,total_bill,tip,sex,smoker,day,time,size,tip_ratio,sum,percent,bpp,tpp,ratio_smoke,ratio_nonsmoker
0,16.99,1.01,Female,No,Sun,Dinner,2,0.05944673337257211,18.0,5.61,8.495,0.505,,0.05944673337257211
1,10.34,1.66,Male,No,Sun,Dinner,3,0.16054158607350097,12.0,13.83,3.4466666666666668,0.5533333333333333,,0.16054158607350097
2,21.01,3.5,Male,No,Sun,Dinner,3,0.16658733936220846,24.51,14.28,7.003333333333334,1.1666666666666667,,0.16658733936220846
3,23.68,3.31,Male,No,Sun,Dinner,2,0.1397804054054054,26.99,12.26,11.84,1.655,,0.1397804054054054
4,24.59,3.61,Female,No,Sun,Dinner,4,0.14680764538430255,28.2,12.8,6.1475,0.9025,,0.14680764538430255
5,25.29,4.71,Male,No,Sun,Dinner,4,0.18623962040332148,30.0,15.7,6.3225,1.1775,,0.18623962040332148
6,8.77,2.0,Male,No,Sun,Dinner,2,0.22805017103762829,10.77,18.57,4.385,1.0,,0.22805017103762829
7,26.88,3.12,Male,No,Sun,Dinner,4,0.11607142857142858,30.0,10.4,6.72,0.78,,0.11607142857142858
8,15.04,1.96,Male,No,Sun,Dinner,2,0.13031914893617022,17.0,11.53,7.52,0.98,,0.13031914893617022
9,14.78,3.23,Male,No,Sun,Dinner,2,0.2185385656292287,18.009999999999998,17.93,7.39,1.615,,0.2185385656292287
10,10.27,1.71,Male,No,Sun,Dinner,2,0.1665043816942551,11.98,14.27,5.135,0.855,,0.1665043816942551
11,35.26,5.0,Female,No,Sun,Dinner,4,0.14180374361883155,40.26,12.42,8.815,1.25,,0.14180374361883155
12,15.42,1.57,Male,No,Sun,Dinner,2,0.10181582360570687,16.99,9.24,7.71,0.785,,0.10181582360570687
13,18.43,3.0,Male,No,Sun,Dinner,4,0.16277807921866522,21.43,14.0,4.6075,0.75,,0.16277807921866522
14,14.83,3.02,Female,No,Sun,Dinner,2,0.20364126770060686,17.85,16.92,7.415,1.51,,0.20364126770060686
15,21.58,3.92,Male,No,Sun,Dinner,2,0.18164967562557924,25.5,15.37,10.79,1.96,,0.18164967562557924
16,10.33,1.67,Female,No,Sun,Dinner,3,0.1616650532429816,12.0,13.92,3.4433333333333334,0.5566666666666666,,0.1616650532429816
17,16.29,3.71,Male,No,Sun,Dinner,3,0.22774708410067526,20.0,18.55,5.43,1.2366666666666666,,0.22774708410067526
18,16.97,3.5,Female,No,Sun,Dinner,3,0.20624631703005306,20.47,17.1,5.656666666666666,1.1666666666666667,,0.20624631703005306
19,20.65,3.35,Male,No,Sat,Dinner,3,0.16222760290556903,24.0,13.96,6.883333333333333,1.1166666666666667,,0.16222760290556903
20,17.92,4.08,Male,No,Sat,Dinner,2,0.22767857142857142,22.0,18.55,8.96,2.04,,0.22767857142857142
21,20.29,2.75,Female,No,Sat,Dinner,2,0.13553474618038444,23.04,11.94,10.145,1.375,,0.13553474618038444
22,15.77,2.23,Female,No,Sat,Dinner,2,0.14140773620798985,18.0,12.39,7.885,1.115,,0.14140773620798985
23,39.42,7.58,Male,No,Sat,Dinner,4,0.19228817858954844,47.0,16.13,9.855,1.895,,0.19228817858954844
24,19.82,3.18,Male,No,Sat,Dinner,2,0.16044399596367306,23.0,13.83,9.91,1.59,,0.16044399596367306
25,17.81,2.34,Male,No,Sat,Dinner,4,0.13138686131386862,20.15,11.61,4.4525,0.585,,0.13138686131386862
26,13.37,2.0,Male,No,Sat,Dinner,2,0.14958863126402394,15.37,13.01,6.685,1.0,,0.14958863126402394
27,12.69,2.0,Male,No,Sat,Dinner,2,0.15760441292356187,14.69,13.61,6.345,1.0,,0.15760441292356187
28,21.7,4.3,Male,No,Sat,Dinner,2,0.19815668202764977,26.0,16.54,10.85,2.15,,0.19815668202764977
